idx,image_id,prediction,gold,EM,F1,BLEU4,ROUGE_L_F1
872,,Yes.,No.,0,0.0,0.0,0.0
873,,Low.,Low.,1,1.0,0.0,1.0
874,,Go straight.,Stationary.,0,0.0,0.0,0.0
875,,No.,No.,1,1.0,0.0,1.0
876,,There are many cars and one truck in,"There are many pedestrians, many cars, one bicycle, and one bus in front of the ego car.",0,0.583333,0.0,0.583333
877,,No.,No.,1,1.0,0.0,1.0
878,,Yes.,Yes.,1,1.0,0.0,1.0
879,,"< c2,CAM_FRON","< c4,CAM_FRONT,679.2,503.3> is in front of < c1,CAM_FRONT_LEFT,1284.2,614.2>, < c5,CAM_FRONT,835.0,465.0> is in front of < c1,CAM_FRONT_LEFT,1284.2,614.2>, < c6,CAM_FRONT,518.3,524.2> is in front of < c1,CAM_FRONT_LEFT,1284.2,614.2>, < c",0,0.0,0.0,0.0
880,,Go straight.,Go straight.,1,1.0,0.0,1.0
881,,No.,No.,1,1.0,0.0,1.0
882,,The action is to keep going at the,The action is to remain stationary. The reason for this action is that there is no safety issue with the given information. The probability of this action is high.,0,0.193548,0.0,0.193548
883,,Black sedan.,"The visual description of < c4,CAM_BACK,448.3,520.0> is a pedestrian wearing a white skirt.",0,0.0,0.0,0.0
884,,"Firstly, notice < c3,","Firstly notice that < c2,CAM_FRONT_RIGHT,1203.3,598.3>; the object is stationary, so the ego vehicle should keep going ahead at the same speed. Secondly notice that < c3,CAM_BACK_RIGHT,1203.3,625.8>; the object is stationary, so the ego vehicle should keep going ahead at the same speed. Thirdly notice that < c4,CAM_FRONT,1428.3,524.2>; the object is stationary, so the ego vehicle should keep going ahead at the same speed.",0,0.074074,0.0,0.074074
885,,One car is parked.,The car to the front left of the ego car is moving.,0,0.307692,0.0,0.307692
886,,No.,No.,1,1.0,0.0,1.0
887,,No.,No.,1,1.0,0.0,1.0
888,,Yes.,No.,0,0.0,0.0,0.0
889,,Low.,Low.,1,1.0,0.0,1.0
890,,"< c1,CAM_FRON","The priority of the objects that the ego vehicle should consider (in descending order) is < c2,CAM_FRONT_LEFT,1295.8,620.8>, < c1,CAM_BACK,782.5,625.0>, < c4,CAM_BACK_LEFT,980.8,643.4>, < c3,CAM_FRONT_LEFT,769.2,556.7>.",0,0.0,0.0,0.0
891,,Sharp left turn.,Slight left turn.,0,0.666667,0.0,0.666667
892,,The action is to keep going at the,"The action is to keep going at the same speed. The reason is to maintain a safe distance, which is high.",0,0.521739,0.15988,0.521739
893,,Yes.,No.,0,0.0,0.0,0.0
894,,No.,No.,1,1.0,0.0,1.0
895,,None.,None.,1,1.0,0.0,1.0
896,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
897,,Stationary.,Stationary.,1,1.0,0.0,1.0
898,,"Yes, there are traffic elements in the","Yes, there are traffic elements in the front view.",0,0.857143,0.716531,0.857143
899,,No.,No.,1,1.0,0.0,1.0
900,,Sharp right turn.,Slight right turn.,0,0.666667,0.0,0.666667
901,,The ego vehicle.,None.,0,0.0,0.0,0.0
902,,Moving.,Moving.,1,1.0,0.0,1.0
903,,Keep going straight.,Keep going straight.,1,1.0,0.0,1.0
904,,There are many cars and one truck behind,There is one car and two pedestrians behind the ego car.,0,0.444444,0.0,0.333333
905,,Many pedestrians are moving.,Many pedestrians are standing.,0,0.75,0.0,0.75
906,,The ego vehicle.,"< c1,CAM_FRONT,883.3,480.8>.",0,0.0,0.0,0.0
907,,No.,No.,1,1.0,0.0,1.0
908,,Stationary.,Stationary.,1,1.0,0.0,1.0
909,,"< c1,CAM_BACK",None.,0,0.0,0.0,0.0
910,,Yes.,Yes.,1,1.0,0.0,1.0
911,,None.,"< c2,CAM_FRONT,1021.7,503.3>.",0,0.0,0.0,0.0
912,,No.,No.,1,1.0,0.0,1.0
913,,Sharp left turn.,Sharp left turn.,1,1.0,0.0,1.0
914,,The ego vehicle.,None.,0,0.0,0.0,0.0
915,,There are many cars and one truck to,There is one pedestrian to the front right of the ego car.,0,0.333333,0.0,0.333333
916,,No.,No.,1,1.0,0.0,1.0
917,,Yes.,Yes.,1,1.0,0.0,1.0
918,,"Many cars are parked, and one","Many cars are moving, and one is parked.",0,0.857143,0.0,0.714286
919,,Empty road.,"The road in this scene is relatively empty, which is worth noting.",0,0.307692,0.0,0.153846
920,,White truck.,Alien-shaped car.,0,0.0,0.0,0.0
921,,Keep going straight.,Keep going straight.,1,1.0,0.0,1.0
922,,Stationary.,Stationary.,1,1.0,0.0,1.0
923,,Black sedan.,Woman in a gray shirt.,0,0.0,0.0,0.0
924,,Going ahead.,Turn left.,0,0.0,0.0,0.0
925,,The ego vehicle.,None.,0,0.0,0.0,0.0
926,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
927,,No.,Yes.,0,0.0,0.0,0.0
928,,The trailer in front of the ego,The trailer in front of the ego car is moving.,0,0.769231,0.548812,0.769231
929,,The ego vehicle.,None.,0,0.0,0.0,0.0
930,,No.,Yes.,0,0.0,0.0,0.0
931,,There are many cars and one truck to,"There are two trucks, three cars, and one pedestrian to the front left of the ego car.",0,0.521739,0.0,0.521739
932,,"None, no, none.","None, no, none.",1,1.0,0.0,1.0
933,,"The action is none, the reason is",The action is to keep going at the same speed; the reason is that there is no safety issue.,0,0.380952,0.0,0.380952
934,,"Keep going at the same speed, accelerate","Brake suddenly, brake gently to a stop.",0,0.0,0.0,0.0
935,,"< c1,CAM_BACK","< c1,CAM_BACK,868.3,630.8> is in the ego lane.",0,0.0,0.0,0.0
936,,"None, no, none.","None, no, none.",1,1.0,0.0,1.0
937,,"< c1,CAM_BACK","< c3,CAM_FRONT_LEFT,649.2,694.2> is in the left lane and < c4,CAM_BACK,1032.5,510.8> is also in the left lane.",0,0.0,0.0,0.0
938,,No.,No.,1,1.0,0.0,1.0
939,,Keep going straight.,Stationary.,0,0.0,0.0,0.0
940,,Moving.,Moving.,1,1.0,0.0,1.0
941,,None.,None.,1,1.0,0.0,1.0
942,,No.,No.,1,1.0,0.0,1.0
943,,Sharp left turn.,Moderate left turn.,0,0.666667,0.0,0.666667
944,,"None, no, none.","None, no, none.",1,1.0,0.0,1.0
945,,There are many cars and one truck in,There are many cars and one truck in front of the ego car.,0,0.8,0.606531,0.8
946,,"Back up, brake suddenly.","Turning right, backing up, accelerating, and going ahead are dangerous actions to take for the ego vehicle in this scenario.",0,0.086957,0.0,0.086957
947,,Traffic sign.,Traffic sign.,1,1.0,0.0,1.0
948,,There are many cars and one truck to,There are three cars to the back left of the ego car.,0,0.444444,0.0,0.444444
949,,One bicycle is without a rider,One bicycle is with a rider.,0,0.8,0.0,0.8
950,,None.,"< c4,CAM_BACK,873.3,520.0>.",0,0.0,0.0,0.0
951,,"Firstly, notice < c3,","Firstly, notice that < c3,CAM_FRONT,1365.8,567.5>. The object is going ahead, so the ego vehicle should keep going ahead at the same speed. Secondly, notice that < c2,CAM_BACK,809.3,553.3>. The object is turning right, so the ego vehicle should keep going ahead at the same speed. Thirdly, notice that < c1,CAM_BACK_LEFT,639.2,403.3>. The object is stationary, so the ego vehicle should keep going ahead at the same speed.",0,0.071429,0.0,0.071429
952,,Low.,Low.,1,1.0,0.0,1.0
953,,One truck is parked.,One truck is parked.,1,1.0,1.0,1.0
954,,Keep going straight.,Stationary.,0,0.0,0.0,0.0
955,,"Keep going at the same speed, accelerate","Keep going at the same speed, decelerate gradually without braking.",0,0.666667,0.460864,0.666667
956,,The ego vehicle.,"< c2,CAM_FRONT,761.7,528.3>.",0,0.0,0.0,0.0
957,,None.,None.,1,1.0,0.0,1.0
958,,No.,No.,1,1.0,0.0,1.0
959,,None.,None.,1,1.0,0.0,1.0
960,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
961,,No.,No.,1,1.0,0.0,1.0
962,,No.,No.,1,1.0,0.0,1.0
963,,Yes.,Yes.,1,1.0,0.0,1.0
964,,"Firstly, notice < c3,","Firstly, notice that < c3,CAM_FRONT,1203.3,528.3>. The object is stationary, so the ego vehicle should keep going ahead at the same speed. Secondly, notice that < c2,CAM_FRONT,165.8,522.5>. The object is stationary, so the ego vehicle should keep going ahead at the same speed. Thirdly, notice that < c1,CAM_BACK_RIGHT,965.8,564.2>. The object is stationary, so the ego vehicle should keep going ahead at the same speed.",0,0.074074,0.0,0.074074
965,,Stationary.,Stationary.,1,1.0,0.0,1.0
966,,One bicycle is without a rider,One bicycle is without a rider.,1,1.0,1.0,1.0
967,,No.,No.,1,1.0,0.0,1.0
968,,Black sedan.,Person on the roadside.,0,0.0,0.0,0.0
969,,Yes.,Yes.,1,1.0,0.0,1.0
970,,Yes.,No.,0,0.0,0.0,0.0
971,,Many pedestrians are moving.,Two pedestrians are moving.,0,0.75,0.0,0.75
972,,Only one of the boxes is a,Only one of the boxes is a traffic sign.,0,0.833333,0.67032,0.833333
973,,No.,Yes.,0,0.0,0.0,0.0
974,,No.,No.,1,1.0,0.0,1.0
975,,One car is moving.,One car is moving.,1,1.0,1.0,1.0
976,,Accelerating and going straight.,Changing to the left lane.,0,0.0,0.0,0.0
977,,Yes.,No.,0,0.0,0.0,0.0
978,,The action is to keep going at the,"The action is to brake gently to a stop. The reason is to follow the traffic rules, which is high probability.",0,0.26087,0.0,0.26087
979,,Yes.,No.,0,0.0,0.0,0.0
980,,Sharp left turn.,Turning left and going straight.,0,0.25,0.0,0.25
981,,No.,No.,1,1.0,0.0,1.0
982,,No.,No.,1,1.0,0.0,1.0
983,,Reversing to the right rear.,Sharp right turn.,0,0.285714,0.0,0.285714
984,,No.,No.,1,1.0,0.0,1.0
985,,"Many cars are parked, and one","Many cars are parked, and two are moving.",0,0.714286,0.544446,0.714286
986,,Silver sedan.,Gray sedan.,0,0.5,0.0,0.5
987,,Black sedan.,Black car.,0,0.5,0.0,0.5
988,,Traffic sign.,Road sign.,0,0.5,0.0,0.5
989,,No.,No.,1,1.0,0.0,1.0
990,,Yes.,No.,0,0.0,0.0,0.0
991,,Keep going straight.,Stationary.,0,0.0,0.0,0.0
992,,Yes.,Yes.,1,1.0,0.0,1.0
993,,Low.,Low.,1,1.0,0.0,1.0
994,,No.,No.,1,1.0,0.0,1.0
995,,There is a white truck to the,"There is a white truck to the back left of the ego vehicle, a white SUV to the front left of the ego vehicle, a gray sedan to the back of the ego vehicle, a red bus to the front of the ego vehicle, and a red light to the front of the ego vehicle. The IDs of these objects are < c1,CAM_BACK_LEFT,401.0,454.1>, < c2,CAM_FRONT_LEFT,992.6,596.9>, < c3,CAM_BACK,",0,0.188679,0.000184,0.188679
996,,Yes.,Yes.,1,1.0,0.0,1.0
997,,One car is moving.,One car is moving.,1,1.0,1.0,1.0
998,,Going ahead.,Going ahead.,1,1.0,0.0,1.0
999,,There are many traffic elements in the front,"There is one traffic element in the front view. The information of this traffic element is [(road sign, go straight, 107.8, 636.36, 216.68, 669.5)].",0,0.275862,0.0,0.275862
1000,,"Firstly, notice < c3,","Firstly, notice < c3,CAM_FRONT,805.8,750.9>. The object is a traffic sign, so the ego vehicle should continue ahead at the same speed. Secondly, notice < c2,CAM_BACK,901.7,555.8>. The object is going ahead, so the ego vehicle should continue ahead at the same speed. Thirdly, notice < c1,CAM_BACK,994.2,535.0>. The object is going ahead, so the ego vehicle should continue ahead at the same speed.",0,0.078431,0.0,0.078431
1001,,Moderate left turn.,Slight left turn.,0,0.666667,0.0,0.666667
1002,,Low.,Low.,1,1.0,0.0,1.0
1003,,"The action is none, the reason is","The action is to take none, the reason is that there is no safety issue.",0,0.555556,0.0,0.555556
1004,,One car is parked.,One car is parked.,1,1.0,1.0,1.0
1005,,Keep going straight.,Stationary.,0,0.0,0.0,0.0
1006,,Moderate right turn.,Moderate right turn.,1,1.0,0.0,1.0
1007,,Many cars are parked.,Many cars are parked.,1,1.0,1.0,1.0
1008,,The ego vehicle.,"< c2,CAM_FRONT,741.7,586.7>.",0,0.0,0.0,0.0
1009,,One motorcycle is without a rider,One motorcycle is without a rider.,1,1.0,1.0,1.0
1010,,"< c1,CAM_FRON","The priority of the objects that the ego vehicle should consider (in descending order) is < c4,CAM_FRONT,895.6,796.6>, < c1,CAM_FRONT_LEFT,929.6,460.3>, < c5,CAM_FRONT,699.8,347.4>, < c3,CAM_BACK,858.3,545.0>, < c2,CAM_BACK,1166.7,545.8>.",0,0.0,0.0,0.0
1011,,White truck.,White truck.,1,1.0,0.0,1.0
1012,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
1013,,Yes.,No.,0,0.0,0.0,0.0
1014,,The action is to keep going at the,The action is to keep going at the same speed because there is no safety issue. The probability of this action is high.,0,0.461538,0.096972,0.461538
1015,,There are many cars and one truck behind,There are many cars and one truck behind the ego car.,0,0.888889,0.778801,0.888889
1016,,Stationary.,Stationary.,1,1.0,0.0,1.0
1017,,Low.,Low.,1,1.0,0.0,1.0
1018,,There are many traffic elements in the front,"There are many traffic elements in the front view. The information of these traffic elements is [(traffic light, red, 1487.72, 262.06, 1518.97, 329.56), (traffic light, red, 835.29, 269.63, 860.35, 342.73), (traffic light, red, 958.82, 263.67, 987.23, 337.93), (traffic light, unknown, 1500.12, 376.83, 1538.28, 407.26), (traffic light, red, 1091.",0,0.264151,0.003805,0.264151
1019,,Keep going straight.,Turn left.,0,0.0,0.0,0.0
1020,,One car is parked.,One car is parked.,1,1.0,1.0,1.0
1021,,"Back up, brake suddenly.","Accelerate and go ahead, brake suddenly.",0,0.4,0.0,0.4
1022,,"Back up, brake suddenly.","Accelerate and go ahead, slightly offset to the left, change to the right lane.",0,0.0,0.0,0.0
1023,,Keep going straight.,Stationary.,0,0.0,0.0,0.0
1024,,Stationary.,Moving.,0,0.0,0.0,0.0
1025,,No.,No.,1,1.0,0.0,1.0
1026,,Black sedan.,Gray business car.,0,0.0,0.0,0.0
1027,,No.,No.,1,1.0,0.0,1.0
1028,,Go straight.,Go straight.,1,1.0,0.0,1.0
1029,,Low.,Low.,1,1.0,0.0,1.0
1030,,"Many cars are parked, and one",Two cars are parked.,0,0.6,0.0,0.6
1031,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
1032,,There is a white truck to the,"There is a white van to the front of the ego vehicle, a person wearing a yellow short-sleeved shirt to the front left of the ego vehicle, a colorful bus to the front of the ego vehicle, and a pedestrian wearing a white skirt to the back of the ego vehicle. The IDs of these objects are < c1,CAM_FRONT,1159.2,521.7>, < c2,CAM_FRONT_LEFT,1167.5,530.0>, < c3,CAM_FRONT,1415.0",0,0.16,0.0,0.16
1033,,Black sedan.,Brown sedan.,0,0.5,0.0,0.5
1034,,"Yes, there are traffic elements in the","No, there are no traffic elements in the front view.",0,0.666667,0.0,0.666667
1035,,Yes.,No.,0,0.0,0.0,0.0
1036,,Many cars are parked.,"Many cars are parked, and one is moving.",0,0.666667,0.367879,0.666667
1037,,No.,Yes.,0,0.0,0.0,0.0
1038,,Yes.,Yes.,1,1.0,0.0,1.0
1039,,Yes.,Yes.,1,1.0,0.0,1.0
1040,,There is one moving car behind the,"There is one moving car in front of the ego car, three parked cars in front of the ego car, two parked cars to the front left of the ego car, one parked truck in front of the ego car, and one moving pedestrian to the back left of the ego car.",0,0.196078,0.001142,0.196078
1041,,Yes.,Yes.,1,1.0,0.0,1.0
1042,,Black sedan.,White SUV.,0,0.0,0.0,0.0
1043,,Black sedan.,Gray car.,0,0.0,0.0,0.0
1044,,Low.,Low.,1,1.0,0.0,1.0
1045,,Low.,Low.,1,1.0,0.0,1.0
1046,,There are many cars to the back right,There are two trucks and one trailer to the back right of the ego car.,0,0.5,0.0,0.5
1047,,Yes.,Yes.,1,1.0,0.0,1.0
1048,,No.,No.,1,1.0,0.0,1.0
1049,,"< c1,CAM_FRON","< c3,CAM_FRONT_LEFT,1429.2,349.7>, < c2,CAM_FRONT_RIGHT,450.7,674.8>, < c1,CAM_BACK,829.9,540.4>.",0,0.0,0.0,0.0
1050,,Yes.,No.,0,0.0,0.0,0.0
1051,,Silver sedan.,White truck.,0,0.0,0.0,0.0
1052,,The action is to keep going at the,"The action is to remain stationary. The reason for taking this action is to follow the traffic rules, which has a high probability.",0,0.24,0.0,0.24
1053,,Black sedan.,Pedestrian in a black top and trousers.,0,0.25,0.0,0.25
1054,,Black sedan.,Black sedan.,1,1.0,0.0,1.0
1055,,Many pedestrians are moving.,Two pedestrians are moving.,0,0.75,0.0,0.75
1056,,"None, no, none.","None, no, none.",1,1.0,0.0,1.0
1057,,The ego vehicle.,The ego vehicle.,1,1.0,0.0,1.0
1058,,Go straight.,Turn left.,0,0.0,0.0,0.0
1059,,No.,No.,1,1.0,0.0,1.0
1060,,Yes.,No.,0,0.0,0.0,0.0
1061,,There is a white truck to the,"There is a white SUV to the front left of the ego vehicle, a white sedan car to the front of the ego vehicle, and a black-clad pedestrian to the front of the ego vehicle. The IDs of these objects are < c1,CAM_FRONT_LEFT,416.7,453.3>, < c2,CAM_FRONT,555.0,475.0>, and < c3,CAM_FRONT,702.5,455.0>.",0,0.2,0.0,0.2
1062,,There is a white truck to the,"There are pedestrians preparing to cross the road to the front left of the ego vehicle, a black sedan car to the back of the ego vehicle, a white shipping container truck to the front of the ego vehicle, a black sedan to the back of the ego vehicle, a black sedan to the front of the ego vehicle, and a red light to the front of the ego vehicle. The IDs of these objects are < c1,CAM_FRONT_LEFT,1027.5,574.2>, < c2,CAM_BACK,956.0",0,0.125,0.0,0.125
1063,,"Firstly, notice < c3,","Firstly, notice that < c1,CAM_FRONT_RIGHT,179.0,414.2>. It is stationary, so the ego vehicle should continue ahead at the same speed. Secondly, notice that < c2,CAM_BACK_RIGHT,905.0,559.2>. It is stationary, so the ego vehicle should continue ahead at the same speed. Thirdly, notice that < c3,CAM_FRONT_RIGHT,1116.7,432.5>. It is stationary, so the ego vehicle should continue ahead at the same speed.",0,0.078431,0.0,0.078431
1064,,None.,"< c2,CAM_BACK,977.5,545.8>.",0,0.0,0.0,0.0
1065,,Go straight.,Go straight.,1,1.0,0.0,1.0
1066,,"< c2,CAM_FRON","< c2,CAM_BACK_RIGHT,750.0,426.7> is at the back of < c1,CAM_FRONT,1227.5,485.0>, < c3,CAM_FRONT_RIGHT,835.8,456.7> is at the back right of < c1,CAM_FRONT,1227.5,485.0>, and < c3,CAM_FRONT_RIGHT,835.8,456.7> is at the front of < c2,CAM_BACK_RIGHT,750.0,426.7>.",0,0.0,0.0,0.0
1067,,Yes.,Yes.,1,1.0,0.0,1.0
1068,,Yes.,Yes.,1,1.0,0.0,1.0
1069,,Red light.,Red light.,1,1.0,0.0,1.0
1070,,None.,None.,1,1.0,0.0,1.0
1071,,"The action is none, the reason is","The action is to remain stationary, and the reason is that there is no safety issue.",0,0.421053,0.0,0.421053
1072,,Many cars are parked.,Two cars are parked.,0,0.75,0.0,0.75
1073,,Black sedan.,White commercial vehicle.,0,0.0,0.0,0.0
1074,,Yes.,Yes.,1,1.0,0.0,1.0
1075,,"Back up, brake suddenly.","Accelerate and go ahead, and back up.",0,0.363636,0.0,0.363636
1076,,The trailer in front of the ego,The trailer to the front of the ego car is parked.,0,0.615385,0.0,0.615385
1077,,Brake suddenly.,Back up.,0,0.0,0.0,0.0
1078,,No.,No.,1,1.0,0.0,1.0
1079,,Yes.,Yes.,1,1.0,0.0,1.0
1080,,No.,No.,1,1.0,0.0,1.0
1081,,Low.,Low.,1,1.0,0.0,1.0
1082,,Yes.,Yes.,1,1.0,0.0,1.0
1083,,"< c1,CAM_FRON","The priority of the objects that the ego vehicle should consider (in descending order) are < c1,CAM_FRONT_RIGHT,215.8,664.2>, < c2,CAM_FRONT,818.3,503.3>, < c3,CAM_FRONT,714.2,494.2>, < c4,CAM_FRONT,668.3,502.5>.",0,0.0,0.0,0.0
1084,,No.,No.,1,1.0,0.0,1.0
1085,,No.,No.,1,1.0,0.0,1.0
1086,,Yes.,Yes.,1,1.0,0.0,1.0
1087,,The action is to keep going at the,"The action is to keep going at the same speed. The reason is that there is no safety issue, with a high probability.",0,0.48,0.114559,0.48
1088,,Go straight.,Go straight.,1,1.0,0.0,1.0
1089,,Accelerating and going straight.,Accelerating and going straight.,1,1.0,1.0,1.0
1090,,"< c2,CAM_FRON","< c2,CAM_FRONT,249.2,385.0> is in front of < c1,CAM_BACK_RIGHT,804.2,540.8>, < c4,CAM_FRONT_LEFT,917.5,688.3> is on the front left of < c1,CAM_BACK_RIGHT,804.2,540.8>, < c3,CAM_BACK,884.2,536.7> is behind < c1,CAM_BACK_RIGHT,804.2,540.8>, < c3,CAM_BACK,",0,0.0,0.0,0.0
1091,,No.,No.,1,1.0,0.0,1.0
1092,,Reversing to the left rear.,"No action taken by the ego vehicle will lead to a collision with < c3,CAM_BACK_LEFT,731.7,580.8>.",0,0.125,0.0,0.125
1093,,Going ahead.,Going ahead.,1,1.0,0.0,1.0
1094,,"Keep going at the same speed, accelerate",Brake gently to a stop; keep going at the same speed.,0,0.666667,0.460864,0.666667
1095,,No.,No.,1,1.0,0.0,1.0
1096,,There are many cars and one truck to,There is one truck and three pedestrians to the front left of the ego car.,0,0.47619,0.0,0.380952
1097,,"The action is none, the reason is","The action is to keep going at the same speed, the reason is there is no safety issue.",0,0.4,0.0,0.4
1098,,Keep going straight.,Stationary.,0,0.0,0.0,0.0
1099,,Black sedan.,White SUV.,0,0.0,0.0,0.0
1100,,None.,The ego vehicle.,0,0.0,0.0,0.0
1101,,"< c2,CAM_FRON","< c2,CAM_FRONT,727.5,461.7> is in front of < c1,CAM_FRONT,605.8,480.8>, < c3,CAM_FRONT,644.2,470.0> is in front of < c1,CAM_FRONT,605.8,480.8>, and < c3,CAM_FRONT,644.2,470.0> is on the front left of < c2,CAM_FRONT,727.5,461.7>.",0,0.0,0.0,0.0
1102,,Yes.,Yes.,1,1.0,0.0,1.0
1103,,Yes.,Yes.,1,1.0,0.0,1.0
1104,,Many cars are parked.,Two cars are parked.,0,0.75,0.0,0.75
1105,,Yes.,Yes.,1,1.0,0.0,1.0
1106,,One car is moving.,One car is moving.,1,1.0,1.0,1.0
1107,,No.,No.,1,1.0,0.0,1.0
1108,,Yes.,No.,0,0.0,0.0,0.0
1109,,The action is to keep going at the,"The action is to keep going at the same speed. The reason is to avoid a collision, which has a high probability.",0,0.521739,0.15988,0.521739
1110,,"< c2,CAM_FRON","< c3,CAM_FRONT,894.5,532.5> is on the front right of < c1,CAM_FRONT_LEFT,918.3,546.7>, < c2,CAM_BACK,838.3,650.0> is on the back right of < c1,CAM_FRONT_LEFT,918.3,546.7>, < c4,CAM_FRONT_RIGHT,370.8,553.3> is on the back right of < c1,CAM_FRONT_LEFT,918.3,",0,0.0,0.0,0.0
1111,,There are many cars and one truck to,"There are two barriers, two trucks, and one car to the front left of the ego car.",0,0.434783,0.0,0.434783
1112,,No.,No.,1,1.0,0.0,1.0
1113,,None.,Red light.,0,0.0,0.0,0.0
1114,,None.,"< c5,CAM_BACK,880.8,551.7>.",0,0.0,0.0,0.0
1115,,Keep going at the same speed.,Go straight or turn left.,0,0.0,0.0,0.0
1116,,There are many cars and one truck to,There is one pedestrian to the front left of the ego car.,0,0.333333,0.0,0.333333
1117,,Two trucks are parked.,Two trucks are parked.,1,1.0,1.0,1.0
1118,,"The action is none, the reason is","The action is none, the reason is there is no safety issue.",0,0.666667,0.367879,0.666667
1119,,No.,Yes.,0,0.0,0.0,0.0
1120,,No.,No.,1,1.0,0.0,1.0
1121,,No.,Yes.,0,0.0,0.0,0.0
1122,,The action is to keep going at the,"The action is to keep going at the same speed. The reason is that there is no safety issue, and the probability is high.",0,0.461538,0.096972,0.461538
1123,,Moving.,Moving.,1,1.0,0.0,1.0
1124,,Stationary.,Stationary.,1,1.0,0.0,1.0
1125,,Yes.,Yes.,1,1.0,0.0,1.0
1126,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
1127,,Yes.,Yes.,1,1.0,0.0,1.0
1128,,Moving.,Moving.,1,1.0,0.0,1.0
1129,,Low.,Low.,1,1.0,0.0,1.0
1130,,Stationary.,Moving.,0,0.0,0.0,0.0
1131,,Yes.,Yes.,1,1.0,0.0,1.0
1132,,Yes.,Yes.,1,1.0,0.0,1.0
1133,,There are many cars and one truck to,There is one car to the front left of the ego car.,0,0.333333,0.0,0.333333
1134,,One construction vehicle is parked.,One construction vehicle is parked.,1,1.0,1.0,1.0
1135,,"None, no, none.","None, no, none.",1,1.0,0.0,1.0
1136,,Yes.,No.,0,0.0,0.0,0.0
1137,,Yes.,Yes.,1,1.0,0.0,1.0
1138,,No.,No.,1,1.0,0.0,1.0
1139,,No.,No.,1,1.0,0.0,1.0
1140,,None.,"< c2,CAM_BACK,504.2,606.7>.",0,0.0,0.0,0.0
1141,,Yes.,Yes.,1,1.0,0.0,1.0
1142,,"< c1,CAM_BACK","< c1,CAM_BACK,773.8,499.5> is on the ego lane, and < c2,CAM_FRONT,1177.5,515.8> is also on the ego lane.",0,0.0,0.0,0.0
1143,,The ego vehicle.,The ego vehicle.,1,1.0,0.0,1.0
1144,,The action is to keep going at the,"The action is to keep going at the same speed, the reason is to avoid a collision, high probability.",0,0.571429,0.22313,0.571429
1145,,There are many traffic elements in the front,"There is one traffic element in the front view. The information of this traffic element is [(road sign, go straight, 1333.4, 561.0, 1377.01, 569.59)].",0,0.275862,0.0,0.275862
1146,,No.,No.,1,1.0,0.0,1.0
1147,,Keep going at the same speed.,Brake gently to a stop.,0,0.0,0.0,0.0
1148,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
1149,,Black sedan.,A person riding a black motorcycle.,0,0.333333,0.0,0.333333
1150,,The action is to keep going at the,"The action is to remain stationary. The reason for taking this action is to follow the traffic rules, which has a high probability.",0,0.24,0.0,0.24
1151,,Black sedan.,Pedestrian.,0,0.0,0.0,0.0
1152,,The trailer in front of the ego,The trailer in front of the ego car is parked.,0,0.769231,0.548812,0.769231
1153,,Low.,Low.,1,1.0,0.0,1.0
1154,,The action is to keep going at the,The action is to keep going at the same speed. The reason is that there is no safety issue. The probability is high.,0,0.48,0.114559,0.48
1155,,Stationary.,Moving.,0,0.0,0.0,0.0
1156,,The action is to keep going at the,"The action is to slightly offset to the right in maneuvering. The reason is to avoid a collision, which has a high probability.",0,0.25,0.0,0.25
1157,,Red light.,White container.,0,0.0,0.0,0.0
1158,,Low.,Low.,1,1.0,0.0,1.0
1159,,No.,No.,1,1.0,0.0,1.0
1160,,Stationary.,Keep going straight.,0,0.0,0.0,0.0
1161,,"Keep going at the same speed, accelerate","Keep going at the same speed, slightly offset to the left, and slightly offset to the right.",0,0.5,0.200291,0.5
1162,,The ego vehicle is going straight.,The ego vehicle is going straight. The ego vehicle is driving fast.,0,0.666667,0.367879,0.666667
1163,,The ego vehicle.,None.,0,0.0,0.0,0.0
1164,,None.,The ego vehicle.,0,0.0,0.0,0.0
1165,,"< c1,CAM_BACK","< c1,CAM_BACK,755.8,527.5> is on the right lane, < c2,CAM_BACK,766.7,531.7> is also on the right lane, and < c3,CAM_FRONT,850.8,525.8> is on the ego lane.",0,0.0,0.0,0.0
1166,,Yes.,No.,0,0.0,0.0,0.0
1167,,None.,None.,1,1.0,0.0,1.0
1168,,One construction vehicle is parked.,One construction vehicle is moving.,0,0.8,0.66874,0.8
1169,,Stationary.,Stationary.,1,1.0,0.0,1.0
1170,,"Many cars are parked, and one","Three of the cars are moving, and one is parked.",0,0.666667,0.0,0.533333
1171,,Yes.,Yes.,1,1.0,0.0,1.0
1172,,Yes.,Yes.,1,1.0,0.0,1.0
1173,,Yes.,Yes.,1,1.0,0.0,1.0
1174,,No.,No.,1,1.0,0.0,1.0
1175,,Yes.,Yes.,1,1.0,0.0,1.0
1176,,Yes.,Yes.,1,1.0,0.0,1.0
1177,,Moving.,Moving.,1,1.0,0.0,1.0
